slug,name,roaster,rating,review_date,aroma,acid_or_milk,body,flavor,type_with_milk,roast_dark,roast_light,roast_medium,roast_medium_dark,roast_medium_light,roast_very_dark,roast_nan,region_africa_arabia,region_caribbean,region_central_america,region_hawaii,region_asia_pacific,region_south_america,type_espresso,type_organic,type_fair_trade,type_decaffeinated,type_pod_capsule,type_blend,type_estate,location,origin,roast,est_price,agtron,acid,aftertaste,with_milk,normalized_rating,origin_derived,review_year,review_month,popularity_tier
ethiopia-worka-2,Ethiopia WORKA,Red Rooster Coffee Roaster,94.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,"Floyd, Virginia","Yirgacheffe growing region, southern Ethiopia",Medium-Light,$17.99/12 ounces,60/80,8.0,8.0,,9.15625,southern Ethiopia,2018,December,Highly Popular
guatemala-hunapu,Guatemala Hunapu,Temple Coffee and Tea,93.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Sacramento, California","Antigua growing region, Guatemala",Medium-Light,$17.50/12 ounces,56/70,8.0,8.0,,8.875,Guatemala,2018,December,Highly Popular
ethiopia-banko-dhadhato-washed,Ethiopia Banko Dhadhato Washed,Red Rooster Coffee Roaster,94.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,"Floyd, Virginia","Yirgacheffe growing region, southern Ethiopia",Light,$17.99/12 ounces,62/82,8.0,8.0,,9.15625,southern Ethiopia,2018,December,Highly Popular
kenya-rugeto-peaberry,Kenya Rugeto Peaberry,Temple Coffee and Tea,93.0,2018-12-01,9.0,8.0,8.0,9.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Sacramento, California","Kirinyaga District, south-central Kenya",Medium,$20.00/12 ounces,47/64,8.0,8.0,,8.875,south-central Kenya,2018,December,Highly Popular
gayo-aceh-sumatra,Gayo Aceh Sumatra,JBC Coffee Roasters,92.0,2018-12-01,9.0,8.0,8.0,9.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Madison, Wisconsin","Aceh growing region, Aceh Province, northern Sumatra, Indonesia",Medium-Light,$16.00/12 ounces,56/76,8.0,8.0,,8.59375,Indonesia,2018,December,Highly Popular
kenya-karuthi-aa,Kenya Karuthi AA,Coava Coffee Roasters,95.0,2018-12-01,9.0,9.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Portland, Oregon","Nyeri growing region, south-central Kenya",Medium-Light,$15.00/250 grams,56/72,9.0,9.0,,9.4375,south-central Kenya,2018,December,Highly Popular
kenya-nyeri-nudurutu-factory-ab,Kenya Nyeri Nudurutu Factory AB,Kakalove Cafe,94.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Chia-Yi, Taiwan","Nyeri growing region, south-central Kenya",Medium-Light,NT $300/8 ounces,57/79,8.0,8.0,,9.15625,south-central Kenya,2018,December,Highly Popular
ethiopia-kochere-washed-saona-lot,Ethiopia Kochere Washed Saona Lot,Kakalove Cafe,95.0,2018-12-01,9.0,9.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Chia-Yi, Taiwan","Yirgacheffe growing region, south-central Ethiopia",Medium-Light,NT $290/8 ounces,57/79,9.0,9.0,,9.4375,south-central Ethiopia,2018,December,Highly Popular
ethiopia-guji-natural-dasaya-se-1,Ethiopia Guji Natural Dasaya,Kakalove Cafe,94.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Chia-Yi, Taiwan","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,NT $300/8 ounces,57/79,8.0,8.0,,9.15625,southern Ethiopia,2018,December,Highly Popular
auromar-geisha-natural-2,Auromar Geisha Natural,Willoughby's Coffee & Tea,93.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Branford, Connecticut","Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,$55.00/12 ounces,53/75,8.0,8.0,,8.875,far western Panama,2018,December,Highly Popular
holiday-blend-25,Holiday Blend,Olympia Coffee,93.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Olympia, Washington","Yirgacheffe growing region, Ethiopia",Medium-Light,$19.50/12 ounces,56/80,8.0,8.0,,8.875,Ethiopia,2018,December,Highly Popular
kith-kin,Kith & Kin,Revel Coffee,93.0,2018-12-01,9.0,8.0,8.0,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Billings, Montana",Ethiopia; Kenya,Medium-Light,$17.50/12 ounces,54/78,8.0,8.0,,8.875,Ethiopia; Kenya,2018,December,Highly Popular
el-salvador-pacamara-3,El Salvador Pacamara,Speckled Ax,92.0,2018-12-01,9.0,8.0,8.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Portland, Maine","Chalatenango, El Salvador",Medium-Light,$25.00/12 ounces,55/75,8.0,8.0,,8.59375,El Salvador,2018,December,Highly Popular
guji-oraga-tabe,Guji Oraga Tabe,Steadfast Coffee,92.0,2018-12-01,9.0,8.0,8.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Nashville, Tennessee","Guji Zone, Oromia Region, southern Ethiopia",Medium-Light,$23.00/12 ounces,52/76,8.0,8.0,,8.59375,southern Ethiopia,2018,December,Highly Popular
baru-gesha,Baru Gesha,Bar Nine,96.0,2018-12-01,9.0,9.0,9.0,10.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Los Angeles, California","Boquete growing region, western Panama",Medium-Light,$30.00/250 grams,55/75,9.0,9.0,,9.71875,western Panama,2018,December,Highly Popular
flowery-nekisse,Flowery Nekisse,Ho Soo Tsai,95.0,2018-12-01,9.0,9.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Kaohsiung City, Taiwan","Sidamo (also Sidama) growing region, south-central Ethiopia",Medium-Light,$18.00/8 ounces,60/80,9.0,9.0,,9.4375,south-central Ethiopia,2018,December,Highly Popular
colombia-el-obraje-gesha,Colombia El Obraje Gesha,Joe Van Gogh Coffee,94.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,"Hillsborough, North Carolina","Narino Department, southern Colombia",Medium-Light,$24.00/6 ounces,54/74,8.0,8.0,,9.15625,southern Colombia,2018,December,Highly Popular
holiday-sweet-blend,Holiday Sweet Blend,Red Rooster Coffee Roaster,94.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,"Floyd, Virginia",Ethiopia; Rwanda; Colombia,Medium-Light,$16.99/12 ounces,54/76,8.0,8.0,,9.15625,Ethiopia; Rwanda; Colombia,2018,December,Highly Popular
camilina-geisha,Camilina Geisha,Bird Rock Coffee Roasters,94.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"San Diego, California","Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,$45.00/8 ounces,54/78,8.0,8.0,,9.15625,far western Panama,2018,December,Highly Popular
mama-cata-geisha-washed,Mama Cata Geisha Washed,Willoughby's Coffee & Tea,94.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Branford, Connecticut","Alto Quiel, Boquete growing region, western Panama",Medium-Light,$54.00/12 ounces,56/84,8.0,8.0,,9.15625,western Panama,2018,December,Highly Popular
panama-finca-lerida-geisha-black-honey,Panama Finca Lerida Geisha Black Honey,Willoughby's Coffee & Tea,93.0,2018-12-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Branford, Connecticut","Jaramillo, Boquete growing region, western Panama",Medium-Light,$39.99/12 ounces,50/75,8.0,8.0,,8.875,western Panama,2018,December,Highly Popular
panama-finca-lerida-geisha-washed,Panama Finca Lerida Geisha Washed,Willoughby's Coffee & Tea,93.0,2018-12-01,9.0,8.0,8.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Branford, Connecticut","Alto Quiel, Boquete growing region, western Panama",Medium-Light,$39.99/12 ounces,57/79,8.0,8.0,,8.875,western Panama,2018,December,Highly Popular
wei-rong-blend,Wei Rong Blend,Mi's Cafe,94.0,2018-12-01,9.0,9.0,8.0,9.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Kaohsiung City, Taiwan",Ethiopia; Guatemala; Kenya,Medium-Light,NT $300/8 ounces,55/72,9.0,9.0,,9.15625,Ethiopia; Guatemala; Kenya,2018,December,Highly Popular
ethiopia-kayon-mountain-5,Ethiopia Kayon Mountain,Ben's Beans,93.0,2018-11-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,"Putnam, Connecticut","Odo Shakiso District, Guji Zone, Oromia region, southern Ethiopia",Medium-Light,$16.95/12 ounces,53/73,8.0,8.0,,8.875,southern Ethiopia,2018,November,Highly Popular
ethiopia-reko-2,Ethiopia Reko,Temple Coffee and Tea,91.0,2018-11-01,8.0,8.0,8.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Sacramento, California","Yirgacheffe growing region, southern Ethiopia",Medium-Light,$19.00/12 ounces,53/73,8.0,8.0,,8.3125,southern Ethiopia,2018,November,Highly Popular
organic-mocha-java-espresso,Organic Mocha Java Espresso,Nella's SOGOOD Coffee,90.0,2018-11-01,8.0,8.0,8.0,8.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,"Empire, Michigan",Not disclosed,Medium,$9.00/8 ounces,42/64,,8.0,8.0,8.03125,Not disclosed,2018,November,Highly Popular
perla-del-otun,Perla del Otún,Espresso Republic,91.0,2018-11-01,8.0,8.0,8.0,8.0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Chino, California","Huila, Colombia",Medium-Light,$15.00/12 ounces,54/74,,9.0,8.0,8.3125,Colombia,2018,November,Highly Popular
decaf-classic-espresso,Decaf Classic Espresso,Espresso Republic,90.0,2018-11-01,8.0,9.0,8.0,8.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"Chino, California","Antioquia, Colombia",Medium,$16.95/12 ounces,44/60,,7.0,9.0,8.03125,Colombia,2018,November,Highly Popular
colombia-el-sauce,Colombia El Sauce,Espresso Republic,90.0,2018-11-01,8.0,8.0,8.0,8.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"Chino, California","Santander, Colombia",Medium-Light,$13.95/12 ounces,51/71,8.0,8.0,,8.03125,Colombia,2018,November,Highly Popular
kiunyu-peaberry,Kiunyu Peaberry,Bird Rock Coffee Roasters,94.0,2018-11-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"San Diego, California",South-central Kenya,Medium-Light,$26.00/12 ounces,52/76,8.0,8.0,,9.15625,South-central Kenya,2018,November,Highly Popular
el-aguila-sl28-el-salvador,El Aguila SL28 El Salvador,JBC Coffee Roasters,93.0,2018-11-01,8.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Madison, Wisconsin","Santa Ana region, El Salvador",Medium-Light,$19.50/12 ounces,57/80,8.0,8.0,,8.875,El Salvador,2018,November,Highly Popular
nano-challa,Nano Challa,Bird Rock Coffee Roasters,93.0,2018-11-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"San Diego, California","Jimma Zone, Oromia State, Ethiopia",Medium-Light,#23.00/12 ounces,54/78,8.0,8.0,,8.875,Ethiopia,2018,November,Highly Popular
costa-rica-volcan-azul-single-origin-espresso,Costa Rica Volcán Azúl Single-Origin Espresso,Temple Coffee and Tea,92.0,2018-11-01,9.0,8.0,8.0,9.0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"Sacramento, California","Poás Volcano region, central Costa Rica",Medium,$21.50/12 ounces,48/57,,8.0,8.0,8.59375,central Costa Rica,2018,November,Highly Popular
kona-mocca-2,Kona Mocca®,Hula Daddy Kona Coffee,96.0,2018-11-01,9.0,9.0,9.0,10.0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,"Holualoa, Hawaii","Holualoa, North Kona growing district, “Big Island” of Hawaii",Medium,$44.95/8 ounces,46/64,9.0,9.0,,9.71875,“Big Island” of Hawaii,2018,November,Highly Popular
kibugu-kenya-2,Kibugu Kenya,Lexington Coffee Roasters,95.0,2018-11-01,9.0,9.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Lexington, Virginia","Embu County, Eastern Province, Kenya",Medium-Light,$19.95/12 ounces,54/74,9.0,9.0,,9.4375,Kenya,2018,November,Highly Popular
poseidon-blend-espresso,Poseidon Blend Espresso,GK Coffee,95.0,2018-11-01,9.0,9.0,9.0,9.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"Yilan, Taiwan","Yirgacheffe, Sidamo, Huehuetenango",Medium-Light,NT $300/227 grams,52/74,,9.0,9.0,9.4375,Huehuetenango,2018,November,Highly Popular
kenya-gikirima-kibugu,Kenya Gikirima Kibugu,Branch Street Coffee Roasters,94.0,2018-11-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Youngstown, Ohio","Embu County, Eastern Province, Kenya",Medium-Light,$16.25/10 ounces,56/74,8.0,8.0,,9.15625,Kenya,2018,November,Highly Popular
kenya-aa-top-gachatha,Kenya AA Top Gachatha,GK Coffee,93.0,2018-11-01,9.0,8.0,8.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Yilan, Taiwan",South-central Kenya,Medium-Light,NT $600/200 grams,56/80,8.0,8.0,,8.875,South-central Kenya,2018,November,Highly Popular
ethiopia-yirgacheffe-g1-chachale-natural,Ethiopia Yirgacheffe G1 Chachale Natural,GK Coffee,93.0,2018-11-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"Yilan, Taiwan","Yirgacheffe growing region, southern Ethiopia",Medium-Light,NT $500/200 grams,54/78,8.0,8.0,,8.875,southern Ethiopia,2018,November,Highly Popular
quejina-guatemala,Quejina Guatemala,Lexington Coffee Roasters,90.0,2018-11-01,8.0,8.0,8.0,8.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Lexington, Virginia","Huehuetenango growing region, Guatemala",Medium-Light,$17.00/12 ounces,53/77,8.0,8.0,,8.03125,Guatemala,2018,November,Highly Popular
christmas-blend-7,Christmas Blend,Mystic Monk Coffee,90.0,2018-11-01,8.0,8.0,8.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Clark, Wyoming","Ethiopia, Burundi",Medium,$14.99/12 ounces,47/65,8.0,8.0,,8.03125,Burundi,2018,November,Highly Popular
thanksgiving-blend-3,Thanksgiving Blend,Mystic Monk Coffee,90.0,2018-11-01,8.0,8.0,8.0,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"Clark, Wyoming",Africa; Indonesia; South America,Medium,$13.99/12 ounces,42/62,8.0,8.0,,8.03125,Africa; Indonesia; South America,2018,November,Highly Popular
elida-estate-geisha-natural-dragonfly-reserve,Elida Estate Geisha Natural Dragonfly Reserve,Dragonfly Coffee Roasters,95.0,2018-11-01,9.0,9.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"Boulder, Colorado","Boquete growing region, western Panama",Medium-Light,$70.00/8 ounces,54/78,9.0,9.0,,9.4375,western Panama,2018,November,Highly Popular
costa-rica-geisha-honey-coe-2018-2nd-place,Costa Rica Geisha Honey COE 2018 2nd Place,Dragonfly Coffee Roasters,94.0,2018-11-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Boulder, Colorado","Tarrazu growing region, Costa Rica",Medium-Light,$45.00/8 ounces,50/76,8.0,8.0,,9.15625,Costa Rica,2018,November,Highly Popular
guatemala-pacamara-natural,Guatemala Pacamara Natural,Fumi Coffee,95.0,2018-11-01,9.0,9.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Hsinchu, Taiwan","Acatenango growing region, Guatemala",Medium-Light,NT $1450/8 ounces,57/77,9.0,9.0,,9.4375,Guatemala,2018,November,Highly Popular
la-providencia-guatemala-maragogype,La Providencia Guatemala Maragogype,Bird Rock Coffee Roasters,94.0,2018-11-01,9.0,9.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"San Diego, California","Huehuetenango growing region, Guatemala",Medium-Light,$21.00/12 ounces,56/78,9.0,9.0,,9.15625,Guatemala,2018,November,Highly Popular
finca-insul-guatemala-pacamara,Finca Insul Guatemala Pacamara,Augie's Coffee Roasters,93.0,2018-11-01,9.0,8.0,8.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Redlands, California","Huehuetenango growing region, Guatemala",Medium-Light,$18.00/12 ounces,55/75,8.0,8.0,,8.875,Guatemala,2018,November,Highly Popular
cuxinales-guatemala,Cuxinales Guatemala,Barrington Coffee Roasting,93.0,2018-11-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Lee, Massachusetts","Antigua growing region, Guatemala",Medium-Light,$18.95/12 ounces,56/78,8.0,8.0,,8.875,Guatemala,2018,November,Highly Popular
nicaragua-la-benedicion-pacamara,Nicaragua La Benedicion Pacamara,Hale Coffee Company,93.0,2018-11-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Toronto, Ontario, Canada","La Providencia, Jalapa, Nicaragua",Medium-Light,CAD $15.00/200 grams,54/78,8.0,8.0,,8.875,Nicaragua,2018,November,Highly Popular
nicaragua-mierisch-finca-la-huella-yellow-pacamara-honey,Nicaragua Mierisch Finca La Huella Yellow Pacamara Honey,Kakalove Cafe,93.0,2018-11-01,9.0,8.0,9.0,9.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Chia-Yi, Taiwan","Acatenango, Guatemala",Light,NT $500/8 ounces,58/84,8.0,8.0,,8.875,Guatemala,2018,November,Highly Popular
el-salvador-finca-el-cerro-pacamara-black-honey,El Salvador Finca El Cerro Pacamara Black Honey,Red Rooster Coffee Roaster,93.0,2018-11-01,9.0,8.0,9.0,9.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,"Floyd, Virginia",El Salvador,Medium-Light,$19.99/12 ounces,57/77,8.0,8.0,,8.875,El Salvador,2018,November,Highly Popular
